BayID,DeviceID,Description1,Description2,Description3,Description4,Description5,Description6,DisabilityExt1,DisabilityExt2,DisabilityExt3,DisabilityExt4,DisabilityExt5,DisabilityExt6,Duration1,Duration2,Duration3,Duration4,Duration5,Duration6,EffectiveOnPH1,EffectiveOnPH2,EffectiveOnPH3,EffectiveOnPH4,EffectiveOnPH5,EffectiveOnPH6,EndTime1,EndTime2,EndTime3,EndTime4,EndTime5,EndTime6,Exemption1,Exemption2,Exemption3,Exemption4,Exemption5,Exemption6,FromDay1,FromDay2,FromDay3,FromDay4,FromDay5,FromDay6,StartTime1,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,ToDay1,ToDay2,ToDay3,ToDay4,ToDay5,ToDay6,TypeDesc1,TypeDesc2,TypeDesc3,TypeDesc4,TypeDesc5,TypeDesc6
3043,20659,MTR A  M-F 7:30-18:30   ,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
3044,20660,A RPE  M-F 7:30-18:30   ,1/2P A RPE SAT 7:30-12:30,,,,,60,60,,,,,30,30,,,,,0,0,,,,,18:30:00,12:30:00,,,,,A RPE,A RPE,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1/2P,1/2P,,,,
3045,20661,MTR A  M-F 7:30-18:30   ,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
3046,20662,A RPE  M-F 7:30-18:30   ,1/2P A RPE SAT 7:30-12:30,,,,,60,60,,,,,30,30,,,,,0,0,,,,,18:30:00,12:30:00,,,,,A RPE,A RPE,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,1/2P,1/2P,,,,
3047,20663,MTR A  M-F 7:30-18:30   ,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
3048,20664,MTR A  M-F 7:30-18:30   ,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
3049,20665,MTR A  M-F 7:30-18:30   ,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
3050,20666,MTR A  M-F 7:30-18:30   ,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
3051,20667,MTR A  M-F 7:30-18:30   ,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
3052,20668,MTR A  M-F 7:30-18:30   ,4P TKT A SAT 7:30-12:30,,,,,480,480,,,,,240,240,,,,,0,0,,,,,18:30:00,12:30:00,,,,,,,,,,,1,6,,,,,7:30:00,7:30:00,,,,,5,6,,,,,4P Ticket A,4P Ticket A,,,,
